artist,title,mood,original_mood,lyrics
Megadeth,Prince of Darkness,0,angry,"My victims are rich or poor, young or old, strong or weak
I cause millions of accidents, I am cancer in your bones
I fathered the lie, twist what you say, speak not the truth
I am insidious, impartial, deep inside your chromosomes

I take what you love and leave you in tears
I imprison your soul, your hopes are my games
I strip you of pride, my promise is in vain
While you burn at the stake, I dance with the flames

I bring poverty, sickness, and death
A worthless handshake, the slickest thief, I steal your wealth
I answer your prayers for greed and lust
More than evil, I laugh at your trust

I am more powerful than all the armies of the world
I am more violent than violence, more deadly than death
I have destroyed more men than all the nation's wars
I am relentless, unpredictable, waiting for your last breath

(Evil) More evil than violence
...

******* This Lyrics is NOT for Commercial use *******"
Junior Boys,Caught in a Wave,2,relaxed,"It's over
And over
This wave
...

******* This Lyrics is NOT for Commercial use *******"
Lil' Kim,How Many Licks ,1,happy,"[Sisqo]
Hold up
So what you're saying is, oh
(Niggaz got me pissed like Lil' Kim)
You want to get freaky again, aight
A-ooh-ah-ooh
Oh, oh, oh, oh

[Lil' Kim]
I've been a lot of places, seen a lot of faces
Ah hell I even fuck with different races
A white dude - his name was John
He had a Queen Bee Rules tattoo on his arm, uh
He asked me if I'd be his date for the prom
And he'd buy me a horse, a Porsche and a farm
Dan my nigga from Down South
Used to like me to spank him and cum in his mouth
And Tony he was Italian (Uh-huh)
And he didn't give a fuck (Uh-huh)
That's what I liked about him
He ate my pussy from dark till the mornin
Called his girl up and told her we was bonin
Puerto Rican papi, used to be a Deacon
But now he be sucking me off on the weekend
And this black dude I called King Kong
He had a big ass dick and a hurricane tongue

[Sisqo]
So, how many licks does it take till you get to the center of the?
(Cause I've got to know)
How many licks does it take till you get to the center of the?
(Tell me)
How many licks does it take till you get to the center of the?
(Oh, oh)
How many licks does it take till you get to the center of the?
(Oh, oh, oh, oh, oh)
...

******* This Lyrics is NOT for Commercial use *******"
Cyndi Lauper,I Drove All Night,1,happy,"I had to escape the city was sticky and cruel
Maybe I should have called you first, but I was dying to get to you
I was dreaming while I drove the long straight road ahead, I

Could taste your sweet kisses, your arms open wide
This fever for you is just burning me up inside

I drove all night to get to you
Is that all right?
I drove all night, crept in your room
Woke you from your sleep to make love to you
Is that all right?
I drove all night
...

******* This Lyrics is NOT for Commercial use *******"
Donavon Frankenreiter,On My Mind,2,relaxed,"Oh baby let's get down tonight
Every time we do it just feels so right
Lets go sit underneath that willow tree
Oh baby just you and me

Even though I can't see you all the time
I got to let you know you're on my mind
Even though I can't see you all the time
I got to let you know you're on my mind

...

******* This Lyrics is NOT for Commercial use *******"
Slayer,Public Display Of Dismemberment,0,angry,"Anarchy, disarray, this is the world today
Justice is a lie for the followers to get by
No peace, only guns, can't trust anyone
Live or die, it's an eye for an eye

Unrest, Marshal Law, society decays
And it's safe to say there is no other way
With lawless arrogance and savage dissidents
Public display of dismemberment

Blameless innocent, lies of the decadent
...

******* This Lyrics is NOT for Commercial use *******"
Slayer,Mandatory Suicide,0,angry,"Murder at your every footstep
A child's toy sudden death
Sniper blazes you through your knees
Falling down, can you feel the heat?

Burn!

Ambushed by the spray of lead
Count the bullet holes in your head
Offspring sent out to cry
Living mandatory suicide

Suicide
...

******* This Lyrics is NOT for Commercial use *******"
Lady Gaga,Teeth,1,happy,"Don't be scared
I've done this before
Show me your teeth
Show me your teeth
Show me your teeth

Don't want no money (want your money)
That shit's ugly
Just want your sex (want your sex)
Take a bite of my bad girl meat (bad girl meat, take a bite of me)
Show me your teeth (let me see your mane)
Got no direction (no direction, I need direction)
Just got my vamp (got my vamp, uh-uh)
Take a bite of my bad girl meat (bad girl meat, oh, take a bite of me, boy)
Show me your teeth (the truth is sexy)

Tell me something that'll save me
I need a man who makes me alright (man who makes me alright) (just tell me when it's alright)
Tell me something that'll change me
I'm gonna love you with my hands tied

Show me your teeth (just tell me when)
Show me your teeth (open your mouth, boy)
Show me your teeth (show me what you got)
Show me your teeth, your teeth, teeth, teeth

...

******* This Lyrics is NOT for Commercial use *******"
Toby Keith,Who's Your Daddy?,1,happy,"Whoo!
Alright

Here you come knockin' on my door
Baby, tell me what you got on your mind
I guess those college boys all went home for the summertime
Yeah, you're lookin' right, lookin' good
Lookin' like a woman should so why is it so hard to find
A place to lay your pretty little head down once in a while?

You run on a little tough luck baby
Don't you sweat it?
Everything is waiting inside for you
You know I got it, come and get it
...

******* This Lyrics is NOT for Commercial use *******"
M.I.A.,Jimmy,1,happy,"Jimmy gone M.I.A.
Come back Jimmy

When you go Rwanda, Congo
Take me on a genocide tour
Take me on a truck to Darfur
Take me where you would go

Got static on ya satellite phone
Gotta get you safe at home
Gotta get you somewhere warm
So you get me all alone

Jimmy! (आजा)
Jimmy! (आजा)
Jimmy! (आजा)
Jimmy! (आजा)

...

******* This Lyrics is NOT for Commercial use *******"
Buzzcocks,Ever Fallen in Love?,0,angry,"You spurn my natural emotions
You make me feel like dirt and I'm hurt
And if I start a commotion
I run the risk of losing you and that's worse

Ever fallen in love with someone
Ever fallen in love, in love with someone
Ever fallen in love, in love with someone
You shouldn't have fallen in love with

I can't see much of a future
Unless we find out what's to blame, what a shame
And we won't be together much longer
Unless we realize that we are the same
...

******* This Lyrics is NOT for Commercial use *******"
The Specials,Guns of Navarone,1,happy,"Guns of Navarone
Guns, guns of Navarone
Music and your singing a song, you've got to go...
?
As long as you wane beat the jungle jive, this is called ""The Shark Attack""
Designed to blow your mind
Call me a raga bum, it's gonna blow your mind in a minute
Guns of Navarone, lets see you...
...

******* This Lyrics is NOT for Commercial use *******"
Katatonia,Brave,3,sad,"If you didn't know
All the moments
When I lose myself
I would tell the world
I'm catching flies by now
Speaking to someone
Breaking the windows
This house is dead

The sound of falling
When the pictures are moving
...

******* This Lyrics is NOT for Commercial use *******"
Gordon Lightfoot,Carefree Highway,2,relaxed,"Picking up the pieces of my sweet shattered dream
I wonder how the old folks are tonight?
Her name was Ann
And I'll be damned if I recall her face
She left me not knowing what to do

Carefree highway
Let me slip away on you
Carefree highway
You've seen better days
The morning after blues
From my head down to my shoes
Carefree highway
Let me slip away, slip away on you

Turning back the pages to the times I love best
I wonder if she'll ever do the same?
Now the thing that I call living
...

******* This Lyrics is NOT for Commercial use *******"
Ivy,Edge Of The Ocean,2,relaxed,"There's a place I dream about
Where the sun never goes out
And the sky is deep and blue
Won't you take me there with you

Ooh, we can begin again
Shed our skin, let the sun shine in
At the edge of the ocean
We can start over again

Sha, nah, nah, nah, nah, nah, nah
Sha, nah, nah
Sha, nah, nah
Sha, nah, nah, nah, nah, nah, nah
Sha, nah, nah
Sha, nah, nah

There's a world I've always known
Somewhere far away from home
When I close my eyes, I see
...

******* This Lyrics is NOT for Commercial use *******"
Leonard Cohen,The Old Revolution,3,sad,"I finally broke into the prison
I found my place in the chain
Even damnation is poisoned with rainbow
All the brave young men
They're waiting now to see a signal
Which some killer will be lighting for pay

Into this furnace I ask you now to venture
You, whom I cannot betray

I fought in the old revolution
On the side of the ghost and the king
Of course I was very young
...

******* This Lyrics is NOT for Commercial use *******"
Porcupine Tree,Shesmovedon,3,sad,"You move in waves
You never retrace
Your newest craze
Straight out of the face by the bed unread

I'm left behind
Like all the others
Some fall for you
It doesn't make much difference if they do

She changes every time you look
By summer, it was all gone
Now, she's moved on

She called you every other day
So savour it, it's all gone
Now, she's moved on
...

******* This Lyrics is NOT for Commercial use *******"
Tupac Shakur,Fuck the World,0,angry,"Haha, what you say?

Who you callin' rapist? Ain't that a bitch
You devils, are so two faceted
Wanna see me locked in chains, dropped in shame
And gettin' stalked by these crooked cops again
Fuckin' with the young black male, tryin' to stack bail
And umm, stay away from the packed jails
I told the judge I'm in danger
And that's why I had that fo'-five with one in the chamber
Fuck the world

They tryin' to say that I don't care
I woke up screamin', ""Fuck the world!""
They tryin' to say that I don't care
Just woke up and screamed, ""Fuck the world!""
They tryin' to say that I don't care
Uhh, I woke up and screamed, ""Fuck the world!""
They tryin' to say that I don't care
Just got up and screamed, ""Fuck the world!""

When I was comin' up rough, that wasn't even what you called it
That's why I smoke blunts now and run with alcoholics
I'm gettin', threats to me, comin' from my enemies
And in they dreams it's hell where they sendin' me

Have I lost control or just another soul
A car full of motherfuckers when we roll
Sippin 'on yak as I sit back, life as a big mack
Brothers come up and say, ""You did that?""

Never take yo' eyes off the prize, and even if you gettin' high
Don't ever hesitate to try
'Cause you can fall off or stay ballin', niggaz we all in
...

******* This Lyrics is NOT for Commercial use *******"
The Rolling Stones,Heart Of Stone,3,sad,"I'm going on
I've got a one way ticket
To a new life circling the sun
A celestial energy
To give me strength to leave

The darkest place
To start the chase
To find a place
Inside this heart of stone

...

******* This Lyrics is NOT for Commercial use *******"
Rickie Lee Jones,Easy Money,2,relaxed,"There was a Joe
Leanin' on the back door
A couple Jills with their eyes on a couple bills
Their eyes was statin'
They was waitin'
To get their hands on some easy money

They flipped a dime
One said, ""Well, I'll take heads this time""
One stepped up
One stepped back
One loosened her shoulder strap
She couldn't speak
Her knees got weak
She could almost taste that easy money

There was this old black cat
...

******* This Lyrics is NOT for Commercial use *******"
Drowning Pool,Step Up,0,angry,"One, two, three, go

Broken
Yeah, you been livin' on the edge of a broken dream
Nothin'
Yeah, that's the only thing you'll ever take away from me

I'm never gonna stop, I'm never gonna drop
Ain't no different than it was before
So, take some good advice, you better stop and think twice
Before you take your first step out that door

If you wanna step up (step up)
You're gonna get knocked down (knocked down)
If you wanna step up (step up)
You're gonna get knocked down
You had your chance to walk away
Live to see another day
If you wanna step up (step up)
You're gonna get knocked down (knocked down)
...

******* This Lyrics is NOT for Commercial use *******"
Rage Against the Machine,Bullet In The Head,0,angry,"This time the bullet cold rocked ya, yeah
A yellow ribbon instead of a swastika
Nothin' proper about your propaganda
Fools follow rules when the set command ya

Said it was blue when your blood was red
That's how you got a bullet blasted through your head
Blasted through your head, blasted through your head
I give a shout out to the living dead

Who stood and watched as the feds cold centralized
So serene on the screen, he was mesmerized
Cellular phones soundin' a death tone
Corporations cold turn you to stone before ya realize

They load the clip in omnicolour
Said they pack the nine, they fire it at prime time
The sleeping gas, every home was like Alcatraz
And motherfuckers lost their minds

Just victims of the in-house drive-by
They say, ""Jump"", you say, ""How high?"", yeah
Just victims of the in-house drive-by
...

******* This Lyrics is NOT for Commercial use *******"
Foo Fighters,The Pretender,0,angry,"Keep you in the dark
You know they all pretend
Keep you in the dark
And so it all began

Send in your skeletons
Sing as their bones come marchin' in again
The need you buried deep
The secrets that you keep are at the ready
Are you ready?

I'm finished making sense
Done pleading ignorance, that whole defense
Spinning infinity, but
The wheel is spinning me, it's never-ending, never-ending
Same old story

What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say I will never surrender?

What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say I will never surrender?
...

******* This Lyrics is NOT for Commercial use *******"
Björn Rosenström,Lurad,1,happy,"Igår kväll ringde jag på en kontaktannons i tidningen
Idag så fick jag träffa henne som jag ringt till
Nyfiken på vad det var för gris i säck jag hade köpt
Ringde jag på dörren och så öppnade hon
Hon kom ifrån Arboga, jag synade henne noga
Och efter ordentligt övervägande jag sa

Det stod att du var snygg, men du är ful
Jag har blivit lurad
Du skrev nåt om ett slott, det här är ett skjul
Jag har blivit lurad

Nu är det faktiskt så, sa hon, att jag tycker att jag är snygg
Så du kan inte stämma mig för lureri
Jag skiter väl i stämning, sa jag
Men jag kräver att du ber om ursäkt
och erkänner att du ser ut som stryk
...

******* This Lyrics is NOT for Commercial use *******"
Tilly and the Wall,Sing Songs Along,1,happy,"we'll wake up your mothers, we'll start a commotion
we'll take you apart, we'll swallow the ocean
and just when you've labeled us one of your types
we'll fly our flag right up up out of your sky
so puff out your chest in some weird dusty fight
we're taking no part in your cracked antique life
we're believing everything that we have heard
we're taking our turn with the kids that don't learn
you know I'm going to take my turn
let us be free, let us sing songs along
...

******* This Lyrics is NOT for Commercial use *******"
Guano Apes,You Can't Stop Me,0,angry,"Someone is coming out to see the light of our destination
A maniac neurotic fool who wants to jump off the isle
How can you know that I'm the one
Who lives the maddest vacation
Another road another trial
Where's the difference
Tell me right

You can't stop me
To love the world with all its lies
(keep it to myself, keep it to myself)
You can't stop me
I'm close enough to kiss the sky
(keep it to myself, keep it to myself)

...

******* This Lyrics is NOT for Commercial use *******"
The Byrds,He Was A Friend Of Mine,3,sad,"He was a friend of mine
He was a friend of mine
His killing had no purpose, no reason or rhyme
He was a friend of mine

He was in Dallas town
...

******* This Lyrics is NOT for Commercial use *******"
Feelies,Fa Cé-La,0,angry,"Get a message out to Mary Ann,
""Everything is alright.""
Get a message out to Mom and Dad,
""Everything is alright.""

...

******* This Lyrics is NOT for Commercial use *******"
Kiss,I Still Love You,3,sad,"You tell me that you're leavin'
And I'm trying to understand
I had myself believing
I should take it like a man
But if you gotta go then you gotta know that it's killin' me
And all the things I never seen to show I gotta make you see
Girl, it's been so long
Then tell me, how could it be?

One of us knows
The two of us don't belong in each others company?
It hurts so much inside your telling me goodbye
You wanna be free
You're knowin' that you're gone and leavin' me behind
...

******* This Lyrics is NOT for Commercial use *******"
The J. Geils Band,Centerfold,1,happy,"Come on!

Does she walk? Does she talk? Does she come complete?
My homeroom, homeroom angel always pulled me from my seat
She was pure like snowflakes no one could ever stain
The memory of my angel could never cause me pain

Years go by, I'm lookin' through a girly magazine
And there's my homeroom angel on the pages in-between

My blood runs cold, my memory has just been sold
My angel is the centerfold, angel is the centerfold
My blood runs cold, woo, my memory has just been sold
Angel is the centerfold

Slipped me notes under the desk while I was thinkin' about her dress
...

******* This Lyrics is NOT for Commercial use *******"
Veronica Maggio,Måndagsbarn,1,happy,"Jag blev ett måndagsbarn
Hela livet blev en helg
Mm, nu är det måndag snart
Och jag lever för ikväll

Åh, sena nätter, tomma glas
Femhundra, skjuter upp problemet för ett tag (för stunden)
Men jag tror att alla snart
Har fått nog av mig

Vad har du gjort av dig, för dig, med dig själv?
Situationen är så sjuk
Vad har du gjort? För dig är det alltid helg
Och helgen måste ta slut

Är född en lördag klockan fem
Jag längtar alltid härifrån men aldrig hem
...

******* This Lyrics is NOT for Commercial use *******"
Mando Diao,Clean Town,1,happy,"We gonna run now

You wanna worship it's feelings
The ones who's squeezing the shame from every man
If mama says it's dinner time, if she ruins your love, run away
So you live in a prison, oh so you're wasting your life
Oh on a system you never will understand
Are you the one I dreamed of, man

Clean town if you want to get away
You pack your cases and you hope for a better day
Mama's alright she said she didn't want your love
Clean town if you want to get away
You pack your cases and you hope for a better day
Joni's alright she said she didn't want your love, yeah

Won't you walk down the main street
...

******* This Lyrics is NOT for Commercial use *******"
Westlife,Uptown Girl,1,happy,"Uptown girl
She's been livin' in her uptown world
I bet she never had a backstreet guy
I bet her mama never told her why

I'm gonna try for an uptown girl (uptown girl)
She's been livin' in her white-bread world (white-bread world)
As long as anyone with hot blood can (hot blood can)
And now she's lookin' for a downtown man (downtown man)
That's what I am

And when she knows what (knows what)
She wants from her time (from her time)
And when she wakes up (she wakes up)
And makes up her mind

(She'll) she'll see I'm not so tough
Just because I'm in love with an uptown girl (uptown girl)
...

******* This Lyrics is NOT for Commercial use *******"
Oceansize,Only Twin,3,sad,"Run, Tommy, run... did you get all you want?
Did you drink their well dry? And extinguish all their sunshine?
I didn't say that I felt the same, you just took it as read
As I closed all the blinds and put you to bed
And read you all the last rites.

It serves as a warning to me, just like most of these days do
Cos I just wish I coulda just left you there sitting in your own shit
Cos I know that you would me, too
See, cos I've trawled through all this before
And I bought that skinny tee
With a big black gaping hole where the heart should be
That says, ""baby, I renounce thee""
...

******* This Lyrics is NOT for Commercial use *******"
God Module,Sections,3,sad,"Take off your head to left me in
So I can understand you
Take off your hands so I can feel
If there is anything left inside of you

Remember to smile
...

******* This Lyrics is NOT for Commercial use *******"
Dawn Landes,You Alone,3,sad,"You alone are holy
And you alone are beauty
You alone are lonely now
When we're alone, you told me
You tell me the whole sad story
We're never 'lone now
Looks like you let it out
For just a moment
...

******* This Lyrics is NOT for Commercial use *******"
The Stills,Everything I Build,3,sad,"The tide is high
I've never been so low
You got room to grow

You can never look up
You can't ever look down
You get kicked around

But I built it with sand
And I built it with rock
I built it with all of the
Things that I'm not
And I watch from the hill
As it burns to the ground
I can still see the smoke
...

******* This Lyrics is NOT for Commercial use *******"
Beth Rowley,Angel Flying Too Close To The Ground,3,sad,"If you had not have fallen,
Then I would not have found you,
Angel flying too close to the ground.
I patched up your broken wings,
And hung around a while.
Kept your spirits up,
And your fever down.
I know someday that you would fly away,
'Cause love's the greatest healer to be found.
So leave me if you need to,
But I will still remember,
Angel flying too close to the ground.
...

******* This Lyrics is NOT for Commercial use *******"
Syd Barrett,Terrapin,2,relaxed,"I really love you and I mean you
The star above you, crystal blue
Well, oh baby
My hair's on end about you (OK)

I wouldn't see you and I love to
I fly above you, yes I do
Well, oh baby
My hair's on end about you

Floating, bumping
Noses dodge a tooth
The fins are luminous
...

******* This Lyrics is NOT for Commercial use *******"
Marilyn Manson,Man That You Fear,0,angry,"The ants are in the sugar
The muscles atrophied
We're on the other side, the screen is us and we're T.V
Spread me open, sticking to my pointy ribs
Are all your infants in abortion cribs
I was born into this
Everything turns to shit
The boy that you loved
Is the man that you fear

Pray untill you're number
Asleep from all your pain
Your apple has been rotting
Tomorrow's turned up dead

I have it all and I have no choice but to
I'll make everyone pay and you will see
You can kill yourself now
Because you're dead in my mind
...

******* This Lyrics is NOT for Commercial use *******"
Slayer,Overt Enemy,0,angry,"I breach your life, indoctrinate
Police your thoughts, ask why I hate?
I lose control when I see your face

Abusing power, I infiltrate
Continue lies, then masturbate
I walk the line, I'll do no time

I hate your church, I'll burn your state
A bleeding heart, a seal of fate
There is no crime within my mind

I'll sell your life and preach your death
A wicked plan born of contempt
Bleeding my ideology through pain

Audacious plans, I calculate
...

******* This Lyrics is NOT for Commercial use *******"
Blue Öyster Cult,Death Valley Nights,3,sad,"Bleached by the sun
And scorched by the moon
If I make it 'til tomorrow noon, I'm leaving
'Tween the horror of space
And the terror of time
My heart is crystal, down the line, I'm screaming

What I need is a kiss from you, babe
Before it's hangover time
What I need is some love from you, babe
Before this stampede arrives

Desolate landscape
Storybook bliss
...

******* This Lyrics is NOT for Commercial use *******"
Barry Mann,Who Put The Bomp ,1,happy,
Frightened Rabbit,My Backwards Walk,3,sad,"I'm working on my backwards walk
Walking with no shoes or socks
And when the time rewinds to the end of May
I wish we'd never met, then met today

I'm working on my faults and cracks
Filling in the blanks and gaps
And when I write them out they don't make sense
I need you to pencil in the rest

I'm working on drawing a straight line
And I'll draw until I get one right
It's bold and dark girl, can't you see
...

******* This Lyrics is NOT for Commercial use *******"
Destruction,Fear of the moment,0,angry,"I am ready to die
The world won't miss me, you wanna know why?
Humanity is out of control
Why should I stay and play my lousy role?

I can't stand the pain
The script is written, don't wanna remain
Now the time is right
Won't be too difficult to give up the last fight

Fear of the moment – My world is a maze with a dead end
Fear of the moment – The will to live is hard to defend
...

******* This Lyrics is NOT for Commercial use *******"
Cradle of Filth,Filthy Little Secret,0,angry,"There hides a secret
Deeply twined inside of her mind
A tried and confined egret
That pines to fly south
To this mouth of mine

Pity

Too long have these emotions
Like potions, made me
A sole castellan
Trusted to keep
The weight of oceans
From her rusted gates of sleep

A dreaming angel
Lying curled in the circles of Hell
I must protect her
Watch her back for any cracks to occur
For in the witching hour
She slips into the underworld
A pearled Persephone
Deflowered by the powers
Hat around her
Down her
Whirl

Doomed to damn the rift
Across the shifting abyss
With her body and it? s gift
My filthy little secret
...

******* This Lyrics is NOT for Commercial use *******"
Bruce Springsteen,Born in the USA,0,angry,"Alright there
One, two, one, two, three, four

Born down in a dead man's town
The first kick I took was when I hit the ground
End up like a dog that's been beat too much
'Til you spend half your life to cover it up, now

Born in the U.S.A.
I was born in the U.S.A.
I was born in the U.S.A.
Born in the U.S.A.

Got in a little hometown jam
So they put a rifle in my hand
...

******* This Lyrics is NOT for Commercial use *******"
Tilly and the Wall,Fell Down the Stairs,1,happy,"You fell down the stairs into my arms
And swiftly ran the other way
And I heard the steady swell of applause
For two drunk kids trying to figure out which way was home
They got lost as they were taking off each other's clothes
They realized there was a hole in the boat
And with no lifesaver you try your best to float
...

******* This Lyrics is NOT for Commercial use *******"
At the Gates,Suicide Nation,0,angry,"Utopia - lost in chaos
As the sky turns black
Suicidal legacy
There is no turning back

Retribution answers cold
Moving in for the kill
Deep hideous festering
Bestial epidemic, repulsive need

Control, control
...

******* This Lyrics is NOT for Commercial use *******"
Seether,Fade Away,3,sad,"I wanna be there when you call
I wanna catch you when you fall
I wanna be the one you need
I wanna be the one you breathe

Today's the day we'll fade away, oh
Today's the day we'll fade away, oh
Today's the day we'll find our way grown
Today's the day we'll fade away

I wanna be there when you cry
And when you're down I'll help you fly
...

******* This Lyrics is NOT for Commercial use *******"
Lamb of God,What I've Become,0,angry,"Blank stares from broken men
So withered from the poisons
They can't Remember when
There were once honest reasons
It's all a lie, it died 100, 000 miles ago
Pretending I'm still here
Justify
What I've become
Sanctify
What I've become
Amazing disgrace... how sweet the sound
...

******* This Lyrics is NOT for Commercial use *******"
NOFX,Murder The Government,0,angry,"I wanna see the constitution burn
Wanna watch the white house overturn
Wanna witness some blue blood bleed red

...

******* This Lyrics is NOT for Commercial use *******"
Al Green,I'm Still In Love With You,2,relaxed,"Spending my day thinkin' 'bout you girl
Being here with you, being near with you
I can't explain myself
Why I feel like I do (Like I do)
Though it hurts me so to let you know that I
Look in your eyes, to let me know
How you feel
Let me know that love is really real
Well, it seems to me
That I'm wrapped up in your love
...

******* This Lyrics is NOT for Commercial use *******"
My Bloody Valentine,No More Sorry,3,sad,
Rammstein,Mutter,3,sad,"Die Tränen greiser Kinderschar
Ich zieh sie auf ein weißes Haar
Werf in die Luft die nasse Kette
Und wünsch mir, dass ich eine Mutter hätte

Keine Sonne die mir scheint
Keine Brust hat Milch geweint
In meiner Kehle steckt ein Schlauch
Hab keinen Nabel auf dem Bauch

Mutter, Mutter
Mutter, Mutter

Ich durfte keine Nippel lecken
Und keine Falte zum Verstecken
Niemand gab mir einen Namen
Gezeugt in Hast und ohne Samen
...

******* This Lyrics is NOT for Commercial use *******"
Jarvis Cocker,Running The World,0,angry,"Well did you hear, there's a natural order
Those most deserving will end up with the most
That the cream cannot help but always rise up to the top
Well I say, shit floats

If you thought things had changed
Friend you'd better think again
Bluntly put in the fewest of words
Cunts are still running the world
Cunts are still running the world

Now the working classes are obsolete
They are surplus to society's needs
So let 'em all kill each other
And get it made overseas

...

******* This Lyrics is NOT for Commercial use *******"
Slayer,Hate Worldwide,0,angry,"I stab you right between the eyes
You awaken from the lies
I've said it ever since its inception
They're the masters of deception
I'm a Godless heretic
Not a God fearing lunatic
That's why it's become my obsession
To treat God like an infection

My scars insane
My life profane
I deny, defy
And spread a little hate worldwide

Like a storm I devastate
...

******* This Lyrics is NOT for Commercial use *******"
Megadeth,Foreclosure of a Dream,0,angry,"Rise so high, yet so far to fall
A plan of dignity and balance for all
Political breakthrough, euphoria's high
More borrowed money, more borrowed time

Backed in a corner, caught up in the race
Means to an end ended in disgrace
Perspective is lost in the spirit of the chase

Foreclosure of a dream
Those visions never seen
Until all is lost, personal holocaust
Foreclosure of a dream

Barren land that once filled a need
Are worthless now, dead without a deed
Slipping away from an iron grip
Nature's scales are forced to tip

...

******* This Lyrics is NOT for Commercial use *******"
Mamonas Assassinas,Vira-Vira,1,happy,"Raios!

Fui convidado pra uma tal de suruba
Não pude ir, Maria foi no meu lugar
Depois de uma semana ela voltou pra casa
Toda arregaçada, não podia nem sentar

Quando vi aquilo, fiquei assustado
Maria chorando começou a me explicar
Daí então eu fiquei aliviado
E dei graças a Deus porque ela foi no meu lugar

Roda, roda e vira, solta a roda e vem
Me passaram a mão na bunda e ainda não comi ninguém
Roda, roda e vira, solta a roda e vem
Neste raio de suruba já me passaram a mão na bunda
E ainda não comi ninguém

Ó, Manoel, olha cá como eu estou
...

******* This Lyrics is NOT for Commercial use *******"
Police,Can't Stand Losing You,0,angry,"I've called you so many times today
And I guess it's all true what your girlfriends say
That you don't ever want to see me again
And your brother's gonna kill me, and he's six feet ten

I guess you'd call it cowardice
But I'm not prepared to go on like this

I can't, I can't, I can't stand losing
I can't, I can't, I can't stand losing
I can't, I can't, I can't, I can't stand losing you
I can't stand losing you
I can't stand losing you
I can't stand losing you

I see you sent my letters back
And my LP records, and they're all scratched
I can't see the point in another day
...

******* This Lyrics is NOT for Commercial use *******"
The Brand New Heavies,Dream Come True,1,happy,"There will never be a time
When I'm untrue to you, yeah
You, you're always on my mind
Tell me what I can do

I've been livin' life on my own
'Til I met you
You, you're always on my mind
What can I do?

Is it a dream come true
About a love I once knew?
Was it all in my mind
Or did I dream it all the time?

You don't have to prove your love
...

******* This Lyrics is NOT for Commercial use *******"
Jack Johnson,Adrift,2,relaxed,"Your voice is adrift
I can't expect it to sing to me
As if I was the only one

I'll follow you
The leaf that's following the sun
When will my weight be too much for you?
When will these ideas really be my own?
Cause this moment keeps on moving
We were never meant to hold on

...

******* This Lyrics is NOT for Commercial use *******"
Megadeth,Seven,0,angry,"Your body is empty now
As I hold you
Now you're gone I miss you
But I told you
I remember bad times
More than good
Never coming back
Even if we could
I loved you to deth
If I can't have you
Than no one will
...

******* This Lyrics is NOT for Commercial use *******"
Killswitch Engage,Unbroken,0,angry,"Go!

Forever falling into oblivion
The darkness crawls forward
And engulfs my will to live
Fear is failure
And this is my motivation
Take back what is stolen
Reclaim all that's lost
With virtue I will rise up from the ruins

Come on!

...

******* This Lyrics is NOT for Commercial use *******"
Enigma,Callas Went Away,2,relaxed,"Callas went away
But her voice forever stay
Callas went away
She went away
...

******* This Lyrics is NOT for Commercial use *******"
As Cities Burn,Timothy,3,sad,"It's not the cold making my legs shake,
It's Timmy's ghost taking his place in our hearts forever.

It's not the sound keeping me from sleep,
It's what Jesus said about hell underneath.
I think I'd rather believe it's some imaginary place,
Made up to make children behave,
So our souls are safe to wander off,
Wherever they might please.
Your soul is safe wherever you might be.

Come now, sleep.
...

******* This Lyrics is NOT for Commercial use *******"
Katatonia,Leaders,3,sad,"Leaders come, stand in line
Reveal your true self, you conformed
I sold my soul, crossed the borderline
I found something I'd never adjust to

Come here, I payed up for you
I have sold my weakness too
Come here, I split my heart in two
But you don't have it in you, do you?
...

******* This Lyrics is NOT for Commercial use *******"
Hot Chip,In The Privacy Of Our Love,2,relaxed,"In the privacy of our love
There is nothing outside our love
In the privacy of our love
We're in each other as hand in glove

In the privacy of our love
There is nothing outside, above
...

******* This Lyrics is NOT for Commercial use *******"
Stephen Lynch,Vanilla Ice Cream,1,happy,"Have a seat and listen
Please, don't say a thing
In matters of the heart sometimes
The truth will have a sting

Just don't take it personally
This is no attack
But we will never last because I'm white
And you are also white

I only like black girls, the brown girls, the café au lait
Oh, caramel girls and mocha girls just blow me away
If you're a Nubian, I want you to be in every fantasy
But if you're a whitey, say ""nighty-nighty""
You're just not the girl for me

...

******* This Lyrics is NOT for Commercial use *******"
Enya,Amid the Falling Snow,2,relaxed,"How I remember sleepless nights
When we would read by candlelight
And on the windowpane outside

A new world made of snow

A million feathers falling down
A million stars that touch the ground
So many secrets to be found
Amid the falling snow

...

******* This Lyrics is NOT for Commercial use *******"
Tenpole Tudor,Wunderbar,1,happy,"Hup, hup, hup
Throw it man
Forward man
Throw it man
I don't know
Maybe that'll do

There is unemployment misery despair
I really wanna lose that job, I'm going to the fair
...

******* This Lyrics is NOT for Commercial use *******"
The Little Ones,There's a Pot a Brewin',1,happy,"Ol' morning crimson dawn
...there's a creek now on the floor
Do the paupers sleep tonight?
Do the children read or write?

There's a pot a brewin'
A beat-up cup for fillin'
Now the paper is saying that are polls are shifting

Our train's ahead
...

******* This Lyrics is NOT for Commercial use *******"
