artist,title,mood,original_mood,lyrics,word_count,avg_word_length
Gillian Welch,By The Mark,2,relaxed,,0,0.0
Leona Naess,Lazy Days,2,relaxed,"Why cant you be with me
Watching American TV
Well order in Chinese
And ask the world to stay away please

These hotels grow so stale
Telling the same asstale
By the time I get to you
Ill be too tired to

Soak up some lazy days
No one can rain on our parade
",54,3.7222222222222223
Juana Molina,La Verdad,2,relaxed,"una verdad se inventa con suma precisión
y la labor inmensa de la imaginación
yo no quiero desganos ni falta de pasión
",22,4.409090909090909
Stray Cats,Rock This Town,1,happy,"Well baby and me went out late Saturday night
I had my hair piled high and my baby looked so right
Well pick you up at ten gotta have you home at two
Mama dont know what I got in store for you
But thats all right cause were lookin as cool as can be
Well we found a little place that really didnt look halfbad
I had a whisky on the rocks and changed half a dollar for the jukebox
Well I put a quarter right into that can
But all they played was disco man
Come on baby baby lets get out of here right away
Were gonna rock this town
Rock it inside out
Were gonna rock this town
",122,3.7131147540983607
The Kooks,One Last Time,3,sad,"Can I hold you one last time
To fight this fear that is growing in my mind
I know I did us both all so wrong
I know Im not always all that strong

A B C D E F and G
Oh that reminds me of when we were free
Before life began to tear us apart
",58,3.1206896551724137
Isobel Campbell & Mark Lanegan,No Place To Fall,3,sad,"If I had no place to fall and I needed to
Could I count on you to lay me down

Ill never tell you no lies
I dont believe its wise
You got pretty eyes wont you spin me round
",40,3.3
Air,Cherry Blossom Girl (Radio Mix),2,relaxed,"I dont want to be shy
Cant stand it anymore
I just want to say hi to the one I love
Cherry blossom girl

I feel sick all day long
From not being with you
I just want to go out
Every night for a while
Cherry blossom girl

Tell me why cant it be true

I never talk to you
People say that I should
",66,3.4242424242424243
Venom,Warhead,0,angry,"Warhead  hear the thunder roar
Warhead  unite the lightning whore

Power burning  hell and man
Raging torment  take my hand
Frenzied motions  reach your soul
Dance the warhead  fast of slow
",31,4.903225806451613
The Alan Parsons Project,The Cask Of Amontillado,3,sad,"By the last breath of the four winds that blow
Ill have revenge upon Fortunato
Smile in his face Ill say
Come let us go
Ive a cask of Amontillado
Sheltered inside from the cold of the snow
Follow me now to the vault down below
",46,3.9347826086956523
Tone-Lōc,Wild Thing,1,happy,"Lets do it

Workin all week 9 to 5 for my money
So when the weekend comes I go get live with the honey
Rollin down the street I saw this girl and she was pumpin
I winked my eye she got into the ride went to a club was jumpin
Duce myself as Loc she said Youre a liar
I said I got it goin on baby doll and Im on fire
Took her to the hotel she said Youre the king
I said Be my queen if you know what I mean and let us do the wild thing

Wild thing
Wild thing

Shoppin at the mall looking for some gear to buy
I saw this girl she cool rocked my world and I had to adjust my fly
She looked at me and smiled and said You have plans for the night
I said Hopefully if things go well Ill be with you tonight
So we journeyed to her house one thing led to an other
",169,3.4437869822485205
Dierks Bentley,What Was I Thinkin',1,happy,"Becky was a beauty from South Alabama
Her daddy had a heart like a nine pound hammer
Think he even did a little time in the slammer
What was I thinkin

She snuck out one night and met me by the front gate
Her daddy came out wavin that 12gauge
We tore out the drive he peppered my tailgate
What was I thinkin

Oh I knew thered be hell to pay
But that crossed my mind a little too late

Cause I was thinkin bout a little white tank top
Sittin right there in the middle by me
I was thinkin bout a long kiss
Man just gotta get goin where the night might lead
I know what I was feelin
But what was I thinkin
What was I thinkin

By the county line the cops were nippin on our heels
Pulled off the road and kicked it in fourwheel
",150,3.7933333333333334
G. Love,Missing My Baby,2,relaxed,"When that moon comes shinin through them clouds
Dont you know that Im missin my baby Yeah Yeah
I know Ive been gone a long long time and
you sure do miss your man and baby I can understand
You being mad cause Ive been gone so long
Ive gonna tell you baby hold on baby hold on

Listen girlif you wanna find
another man while Im gone
Im gonna tell you now hold on baby hold on
My love as always comin on strong
you wont have to wait to long
cause Im on my way back home
",99,3.717171717171717
Christina Aguilera,Hurt,0,angry,"Seems like it was yesterday when I saw your face
You told me how proud you were but I walked away
If only I knew what I know today
Ooh ooh

I would hold you in my arms
I would take the pain away
Thank you for all youve done
Forgive all your mistakes
Theres nothing I wouldnt do
To hear your voice again
Sometimes I wanna call you
But I know you wont be there

Oh Im sorry for blaming you
For everything I just couldnt do
",88,3.7613636363636362
The Stooges,T.V. Eye,0,angry,"Lord
See that cat
Yeah I do mean you
See that cat
Yeah I do mean you
She got a TV eye on me
She got a TV eye
She got a TV eye on me oh
See that cat
Down on her back
",44,2.75
Arctic Monkeys,The View From the Afternoon,1,happy,"Anticipation has the habit to set you up
For disappointment in evening entertainment but
Tonight therell be some love
Tonight therell be a rackus yeah regardless of whats gone before

I want to see all of the things that weve already seen
The lairy girls hung out the window of the limousine
Of course its fancy dress
And theyre all looking quite full on in bunny ears and devil horns and how

Anticipation has the habit to set you up
For disappointment in evening entertainment but
Tonight therell be some love
Tonight therell be a rackus yeah regardless of whats gone before

I want to see all of the things that weve already seen
",114,4.526315789473684
3 Doors Down,Be Somebody,3,sad,"The shades go up
Mothers staring down
She dont know where hes been
Or how long hes been out

She said Boy Im tired of waiting
up while youre out with your friends
He said Mom im tired and im living my life the best way that I can

Cause Im trying to be somebody
Im not trying to be somebody else
This life is mine Im living

Dont you know me I wont ever let you down

The day has come
The sun is moving on

She dont know where hell go
",93,3.6236559139784945
stellastarr*,Sweet Troubled Soul,1,happy,"Im a jealous man
Oooh I cant relate
Shes a doeeyed girl
Oooh with no complaints

But theres another side that Im trying to crack
If you open your mind and let me take a stab
At the secrets that you know
Sweet troubled soul

Shes a summer tramp
Oooh all dressed in black
A fluorescent tan
Oooh sweet heart attack

",61,4.081967213114754
Sun Kil Moon,Carry Me Ohio,3,sad,"Sorry that I could never love you back
I could never care enough in these last days
Her tears fell on her pages found me well on her words
I dont know what to do or say
Wadin through warm canals and pools clear blue
The Tuscarawas flowed into the Great Lakes
Ridin back where the highway met dead tracks
The ground is now cement and glass so far away

Heal her soul
Carry her my angel Ohio

",78,3.9871794871794872
Sylvester,You Make Me Feel (Mighty Real),1,happy,"When were out there dancin on the floor darlin
And I feel like I need some more
And I feel your body close to mine
And I know my love its about that time
Make me feel mighty real
Make me feel mighty real

You make me feel mighty real
You make me feel mighty real

When we get home darlin
And its nice and dark
And the musics in me
And Im still real hot
Then you kiss me there
",81,3.617283950617284
Love,Orange Skies,2,relaxed,"Orange skies
Carnivals and cotton candy and you
And I love you too
You know I do

Nightingale
Prettier than anything in the world
And I love you too
You know I do
",33,3.909090909090909
Diary of Dreams,Portrait Of A Cynic,3,sad,"I know for sure
You left me here
I came for shelter
My last conviction

Ill fight for sure
You found me stranded
My hand in yours
A farewell whisper

",30,3.933333333333333
Tori Amos,Professional Widow,0,angry,"Honey bring it close to my
Honey bring it close to my lips yeah
Honey bring it close to my
Honey bring it close to my lips yeah

Honey bring it close to my
Honey bring it close to my lips yeah
Honey bring it close to my
Honey bring it close to my lips yeah

Honey bring it close to my
Honey bring it close to my lips yeah
Honey bring it close to my
Honey bring it close to my lips yeah

Honey bring it close to my
Honey bring it close to my lips yeah
Honey bring it close to my
",104,3.5673076923076925
ATB,Marrakech,2,relaxed,"A ritual disgrace Marrakesh adventure
A ritual disgrace Marrakesh adventure Marrakesh adventure

That familiar sound explains what Im feeling

Im both lost  found never been there before
That familiar sound explains what Im feeling

Im both lost  found never been there before
",42,5.476190476190476
Death Cab For Cutie,Soul Meets Body (Rolling Stone Original),2,relaxed,"I want to live where soul meets body
And let the sun wrap its arms around me
And bathe my skin in water cool and cleansing
And feel feel what its like to be new

Cause in my head theres a greyhound station
Where I send my thoughts to far off destinations
So they may have a chance of finding a place
Where theyre far more suited than here

I cannot guess what well discover
When we turn the dirt with our palms cupped like shovels
But I know our filthy hands can wash one anothers
",96,3.9895833333333335
Slayer,Ghosts Of War,0,angry,"Fate silent warriors sleeping souls will rise
Once forgotten soldiers come to life
Fallen mercenary dormancy is done
Not content with wars we never won

Memories cant ignore
Anguish of before
Satisfy the scorn
Rise ghosts of war

",38,5.0
Lunascape,Inferno,2,relaxed,"your love inferno
defines your anger
the way you are

my love inferno
angelic candle gelignite
",16,4.875
India.Arie,The Truth,2,relaxed,"Let me tell you why I love him

Cause he is the truth
Said he is so real
And I love the way that he makes me feel
And if I am a reflection of him then I must be fly cause
His light it shines so bright I wouldnt lie no

I remember the very first day that I saw him
I found myself immediately intrigued by him
Its almost like I knew this man from another life
Like back then maybe I was his husband and maybe he was my wife

And even the things I dont like about him are fine with me
Because its not hard for me to understand him because hes so much like me
And its truly my pleasure to share his company
And I know that its Gods gift to breathe the air he breathes

",143,3.6223776223776225
Neutral Milk Hotel,April 8th,3,sad,"Crawl across towards your window
Im calling softly from the street
Always a lonely widow
Halfawake and sleeping on my feet

Im of age but have no children
No quarter phone booth calls to home
Just late night television
",39,4.589743589743589
Isis,The Other,3,sad,"In this secret way
He knew you first
And from those lips a seed

Your mouth dropped open
Darkness fell out
",21,4.0476190476190474
Opeth,Heir Apparent,0,angry,"Cold days
Old ways
Told lies
No more

So many years to clean the slate
Endless despair within its wake
His touch soiling what used to be clean
His gaze burning on the edge of our dreams

Cold days
Cold days

And again he rides in
",46,3.9347826086956523
High On Fire,The Face of Oblivion,0,angry,"Ghosts of forever ride the pale twilight
Teller of the tale lives beneath the ice
Shadow of the haunter creeps within our sight
As we lay sleeping Horror

Shunned dead city in the acrid cold
",35,4.428571428571429
Mohombi,Bumpy Ride,1,happy,"I wanna boom bang bang with your body yo
Were gonna rough it up before we take it slow
Girl let me rock you rock you like a rodeo
Its gonna be a bumpy ride

I wanna boom bang bang with your body yo
Were gonna rough it up before we take it slow
Girl let me rock you rock you like a rodeo
Its gonna be a bumpy ride

I wanna boom bang bang with your body yo
Were gonna rough it up before we take it slow
Girl let me rock you rock you like a rodeo
Its gonna be a bumpy ride

I wanna pull you over pull you under
Make your body surrender to mine Ooh ayoh
Girl you can make me suffer do whatever
Cause I know youre one of a kind Ooh ayoh

Tell me who can love you nobody
Hold you nobody
Make your body wind like me
You will never find someone like me
Who can love you nobody
Hold you nobody
Make your body wind like me
You will never find someone like me

I wanna boom bang bang with your body yo
Were gonna rough it up before we take it slow
Girl let me rock you rock you like a rodeo
",212,3.599056603773585
Dwele,Find A Way,2,relaxed,"It used to be we would be the best of all friends
It turned to be LOVE and I was your man
So you was my ladyfriend we spent time
I found a way to be by your side
Through the ins and outs the wrongs and rights

After a while of bein settled down I didnt know how to keep the love
Cause I was young I wish I knew then what I know now
I wouldnt let you go I swear I wouldve made this love grow
I spent a lot of time and a lot of dough
Tryin to match what we had and now I I

I was hopin we could find a way
To have what we had again today
Though its been some time since you and I
It wouldnt hurt to try to find our love

Wish that I would have known the treasures Id found
I didnt know until you left I loved your smile
",163,3.3865030674846626
Ray Charles,What'd I Say,1,happy,"Hey mama dont you treat me wrong
Come and love your daddy all night long
All right now hey hey all right

See the girl with the diamond ring
She knows how to shake that thing
All right now now now hey hey hey hey

Tell your mama tell your pa
Im gonna send you back to Arkansas
Oh yes mam you dont do right dont do right

When you see me in misery
Come on baby see about me
Now yeah yeah all right all right aw play it boy

When you see me in misery
Come on baby see about me
Now yeah yeah hey hey all right

See the girl with the red dress on
She can do the Birdland all night long
Yeah yeah whatd I say all right

Well tell me whatd I say yeah
Tell me whatd I say right now
",147,3.5510204081632653
Above & Beyond,Home,2,relaxed,"Here I come to find myself catch the tide
Looking for a peace at the end of the line
Sometimes I cant help myself feel the tide
Im all at sea and so unwise

Im so afraid Id lose your love as time goes by
But courage is a fire and a beacon so bright
The sun builds a memory our love signed
And all I see becomes a lie

",70,3.5142857142857142
Marilyn Manson,Misery Machine,0,angry,"I would like to face reality
Let me tell you theres over three thousand groups operating in this country today
And the number is growing
As Christians we gotta take on the armor of Christ
And go to battle against Satan

Man in the front got a sinister grin
Careen down highway 666
We wanna go crush the slow
As the pitchfork bends the needles grow

My arms are wheels my legs are wheels
My blood is pavement
Were gonna ride to the abbey of Thelema
To the abbey of Thelema
Blood is pavement
Yeah

Grill in the front is my sinister grin
Bugs in my teeth make me sick sick sick
The objects may be larger than
They appear in the mirror

",123,4.1138211382113825
Titus Andronicus,Arms Against Atrophy,0,angry,"A band trip dance  what could be the harm
But a six week vacation from the use of my right arm
It was just the two hits I remember nothing more
Only Alex hitting the switch and me hitting the floor
Were taking this lying down
The one thing I can stand up for is resting supine on the ground
Mr McDermott wont you help me to my feet
Because the drumlines going wild in the San Francisco streets

The long walk home is an hour and a half
But it quickly turns to three or four with stops at every underpass
But by June 22nd I have done the math
Thats a hundred and five liters Ill consume of Dr Path
Some girls will tell their secrets to anyone
",130,3.923076923076923
Antimatter,Fighting for a Lost Cause,3,sad,"And there it is
As pure as snow

I couldnt see it for my head was too low

And prying eyes
They stoop too low

Poisoning my soul
As sanity waits in the gallows
",34,3.6176470588235294
Natalie Merchant,San Andreas Fault (Remastered LP Version),3,sad,"Go west
Paradise is there
Youll have all that you can eat
Of milk and honey over there
Youll be the brightest light
The world has ever seen
Sunbaked slender heroine
Of film and magazine

Go west
Paradise is there
Youll have all that you can eat
Of milk and honey over there
Youll be the brightest light
The world has ever seen
The dizzy height of a jetset life
You could never dream
",74,4.162162162162162
Lisa Ekdahl,Öppna Upp Ditt Fönster,1,happy,"Slå upp din dörr
Släpp in ljuset och min älskling
Låt allting bli som förr
Låt honom veta
Än finns en väg tillbaks
Låt honom veta

Att han är den enda du vill ha
Visst kan du välja att bryta nu
Men han finns alltid där i ditt hjärta det vet du
Så varför inte låta honom vara där
Du kan ändå aldrig glömma den ditt hjärta håller kär

Slå upp din dörr
Släpp in ljuset och min älskling
Låt allting bli som förr
Låt honom veta
Än finns en väg tillbaks
Låt honom veta
Att han är den enda du vill ha

Ropa ner i gränden
Högt så han hör
Ropa att den kärlek
Är inget man förgör
",119,3.764705882352941
Liv Kristine,Take Good Care,2,relaxed,"When the sun was down
I opened my eyes
And I looked around

All the stars were bound
To fall from the sky
I would make no sound

Take good care
Take good care

I can hold you
And console you
I can show you another rainbow
Take good care  I can make you one

I can hold you
Like I told you
I can fold you another rainbow
",69,3.5652173913043477
Ben Folds Five,Brick,3,sad,"6 am day after Christmas
I throw some clothes on in the dark
The smell of cold car seat is freezing
The world is sleepin I am numb

Up the stairs to her apartment
She is balled up on the couch
Her mom and dad went down to Charlotte
Theyre not home to find us out

And we drive
Now that I have found someone
Im feelin more alone
Than I ever have before

",74,3.72972972972973
Amy Winehouse,Monkey Man,1,happy,"Ayeayeaye ayeayeaye
Huggin up to big monkey man
Ayeayeaye ayeayeaye
Huggin up to big monkey man

I never saw you I only heard of you
Huggin up to big monkey man
I never saw you I only heard of you
Huggin up to big monkey man

Its your life its your life
Huggin up to big monkey man
Its your life its your life
Huggin up to big monkey man

Now I know that now I understand
",77,3.792207792207792
Air,Photograph,2,relaxed,"God would like to own your autograph
The angels cry to have your photograph

As if you were all sweetness and light
",22,4.2272727272727275
DIR EN GREY,GRIEF,0,angry,"Shout up Thats fucking bullshit
Blood tastes like vanilla

Fuck off
もっともらしい顔して
あざむくことしか頭にない猿
さあ盲人に問う
答えろ

",15,5.933333333333334
Pearl Jam,Animal,0,angry,"One two three four five against one
Five five five against one
I said one two three four five against one
Fifive five five five against

Torture from you to me
Abducted from the street

Id rather be
Id rather be with
Id rather be with an
Animal
Ahh

Rah

Why would you want to hurt me
",57,3.9298245614035086
Ryan Adams,This House Is Not For Sale,2,relaxed,"Tell em that the house is not for sale
Were still livin here how come nobody can tell
Theyre takin all the furniture movin our things
Come on little honey put your head on my knee
Tell em that the house is not for sale
And calm down calm down calm down
Calm down calm down calm down

Do you remember when we even bought this thing
",67,3.925373134328358
Lloyd Banks,Father Time,0,angry,"Yeah I hear you
And Im a make you shut the fuck up

They see me movin
They want me to stop drop
Off the face of earth
But Im a make it pop hot

These niggaz are not not
Watch me take my spot got
Money got power and respect
Baby I just hope times on my side

Ive been tryin all my life
Every block some ones dyin
Always high heres our life
Come inside

Energies my ammunition
Like AK shells
So think about that when you plan on dissin
Go straight to hell

Bred to be ballin since a baby kickin
I had the smell
Brand new money ladies sniffin
They take a L

I take a shit on rappers horse worth
Cant die must conquer the world first
Like a monster to media
On my beautiful girls search

High and low I am no thing u tamper with
Made the plan you should cancel it
Make examples I trample shit

Drop you here I am cancerous
Answer this who can handle this
Scandalous I dismantle these ants
And piss on a trucer

",186,3.827956989247312
SWV,You're The One,1,happy,"Youre the one for me

Youre the one for me youre the one
You can call on me oh yes
Is all I want us to be oh yeah
Youre the one for me

I know that youre somebody elses guy
But these feelings that I have for you I cant deny
She doesnt treat you the way you want her to
So come on stop running
I wanna get with you

What your girl dont know wont hurt her
Anything to make this love go further

Youre the one youre the one for me
When in need you can call on me
When in love is all I want us to be
Cause youre the one youre the one for me

This can be an undercover romance
Cause I feel that Im the type of girl
You should give a chance
Taste and see taste and see
How good it can be how good it can be
",158,3.4050632911392404
Cut Off Your Hands,Oh Girl,1,happy,"Oh Girl
I want to see you tonight
Oh it s been days since I held your hand you know
It feels like years if you understand

Oh girl
Can you come over to my house
Oh we can do things that we ve never done
We can just talk it can be such fun

Oh darling
Oh won t you come and stand next to me
Oh let me whisper in you ear
People see then I don t care

Oh girl
Can you come over tonight
Oh tell me those words that I want to hear
You can just whisper in my ear

Don t you know that life depends on a night with only you
",118,3.3389830508474576
Nicole Atkins,Together We're Both Alone,2,relaxed,"I am raising a flag
I am just too tired now to fight
Its white and its waving
Cant we save this for another night
I used to be afraid but now I crave the quiet
Together we are both alone but I dont mind
Ill dream of something to try and make us all right

Baby put your arms down
Theyre machines that cant be fixed no more
Causing the alarm sounds
",73,3.7534246575342465
Zeromancer,Houses of Cards,3,sad,"How can you stand there and deny it
After all we have been through
How can you stand there and deny it
And make a fool out of you

Collapsing
Like houses of cards
And landing
On splinters and glass

Wish I could fake it like you do
",48,3.7916666666666665
Until June,The Saddest Song,3,sad,"And its the saddest song youll sing
When Im alone with you
Your tears come down
You search your life for something new
And what you found is true
But now youre gone

Chorus
Oh youre alone
And Im waiting here for you
Youre alone
And Im waiting here for you
",51,4.0
Lordi,Hard Rock Hallelujah,1,happy,"Hard rock hallelujah
Hard rock hallelujah
Hard rock hallelujah
Hard rock hallelujah

The saints are crippled on this sinners night
Lost are the lambs with no guiding light
The walls come down like thunder the rocks about to roll
Its the arockalypse now bare your soul

All we need is lightning with power and might
Striking down the prophets of false
As the moon is rising give us the sign
Now let us rise up in awe

Rock n roll angels bring thine hard rock hallelujah
Demons and angels all in one have arrived
Rock n roll angels bring thine hard rock hallelujah
",103,4.436893203883495
Edward Sharpe & the Magnetic Zeros,40 Day Dream,1,happy,"Well I been sleeping for forty days and I know
Im sleeping cause this dreams too amazing
She got gold doorknobs where her eyes used to be yeah
One turn and I learned what it really means to see

Ahah its the magical mystery kind ahah must be a lie
Bye bye to the too good to be true kind of love
Ohoh I could die
Oh now I could die

",71,3.6619718309859155
David Jordan,Sun Goes Down,1,happy,"Open your eyes cause another day is dawning
Children of the night can you hear them all calling
Skies open up and the angel starts falling
Listen to the beasts can you hear them hollering

Start in the morning through til the evening
Dance like you are the only one around
Move like you want it groove like you need it
Dance lose it all til the sun goes down

Free your mind cause tonight we are gonna break it down
Shake it make it funky down
Get so high as the toxins in your body
Are the bass and drums and the ra ra ra

We are right on time
And all is fine
If youve lost your senses
Here have mine and

Lose yourself
From the time you awake
Til the evening time
Until the sunshine breaks and come on

",142,3.9295774647887325
Shenandoah,Ghost In this House,3,sad,"I dont pick up the mail
I dont pick up the phone
I dont answer the door
Id just as soon be alone
I dont keep this place up
I just keep the lights down
I dont live in these rooms
I just rattle around

Im just a ghost in this house
Im just a shadow upon these walls
As quietly as a mouse I haunt these halls
Im just a whisper of smoke
Im all thats left of two hearts on fire
That once burned out of control
",89,3.539325842696629
Dew-Scented,Blueprints of hate,0,angry,"Witness the blueprints of hate

Weeding out the hope forlorn
Following a stronger will in vain
Self indulgence

Agony forever more
Forsaken spite the final thrill
Another blessing in disguise

Bastard nation
",32,5.40625
Bon Jovi,Bad Medicine,1,happy,"Your love is like bad medicine
Bad medicine is what I need
Shake it up just like bad medicine
There aint no doctor that can cure my disease

Bad medicine

I aint got a fever got a permanent disease
And itll take more than a doctor to prescribe a remedy
I got lots of money but it isnt what I need
Gonna take more than a shot to get this poison out of me
And I got all the symptoms count em one two three

First you need thats what you get for falling in love
Then you bleed you get a little but its never enough
And when youre on your knees
Thats what you get for falling in love
Now this boys addicted cause your kiss is the drug

Your love is like bad medicine
Bad medicine is what I need whoa
Shake it up just like bad medicine
There aint no doctor that can cure my disease
Bad bad medicine

I dont need no needle to be giving me a thrill
And I dont need no anesthesia or a nurse to bring a pill
",187,3.7807486631016043
Cocteau Twins,Squeeze-Wax,2,relaxed,,0,0.0
Anathema,Far Away,3,sad,"One common subterranean destination
One life another day
A vestal child unveiled by temptation
Innocence slips away

Far away
",19,5.578947368421052
The Velvet Underground,Sunday Morning,2,relaxed,"Sunday morning brings the dawning
Its just a restless feeling by my side
Early dawning Sunday morning
Its just the wasted years so close behind

Watch out the worlds behind you
Theres always someone around you who will call
Its nothing at all

",43,4.627906976744186
David Sanborn,Try A Little Tenderness,2,relaxed,"She may be weary
Women do get weary
Wearing the same shabby dress
And when shes weary
Try a little tenderness

She may be waiting
Just anticipating
Things she may never possess
And while shes without them
Try a little tenderness

",41,4.560975609756097
Rufus Wainwright,This Love Affair,3,sad,"I dont know what Im doing
I dont know what Im saying
I dont know why Im watching all these white people dancing
I dont know where Im going
But I do know that Im walking
Well I dont know
Just away from this love affair
",46,3.739130434782609
Bodo Wartke,Ich trau mich nicht,1,happy,"Seit ich hier wohne fahr ich in der Regel
fast täglich mit der UBahn Richtung Tegel

gesprochenTegel ist ja nun ein Stadtteil von Berlin aber da wir heute Abend in Düsseldorf sind könnte man das Lied auch wie folgt einleiten

Ich muß heut mit der UBahn noch nach Pempelfort
ich habe nämlich noch ein wenig Krempel dort
Dadurch hab ich kaum noch was in mein m Sparschwein
denn drei Mark zwanzig kost mich hier der Fahrschein

Ich könnte ja mal schwarz fahrn
dann spar ich den Betrag
Doch das kostet hab ich Pech
statt 3 Mark 20 sechzig Mark

Egal das eine Mal
Was soll passiern
Die kontrollieren
heute dich ganz sicher nicht
Also was zögerst du

Ich trau mich nich
Ich trau mich nich

Was soll ich sagen Ich bin SchwarzfahrDrückeberger
und mein Ärger wird darüber immer ärger
Na ja was solls Werd ich halt arm doch bleib ich edel
Da bemerk ich neben mir steht ein Mädel

Was für eine Traumfrau
Eine wie sie sah ich noch nie
Ich schau sie an doch kaum schaut
",177,4.367231638418079
The Maine,The Way We Talk,1,happy,"Shes fresh to death
Shell be the death of you
Seduction leads to destruction
Shes fresh to death
Shell be the death of me
Shes fresh but not so clean

Cute face slim waist
Shes got em in a craze
Yeah I think hes going crazy
When she speaks it makes me grind my teeth
Yet he still thinks shes amazing
And shes been playing games
Ever since 98
Shallow is as shallow does yeah
Some people never change

Shes so fine
Shes thinks shes so damn fine
She might be fine
But she aint worth a second of your time

Youre as fake as the moans you make
",109,3.9174311926605503
"Harry Connick, Jr.",A Wink and a Smile,2,relaxed,"I remember the days
Of just keeping time
Of hanging around in sleepy towns forever
Back roads empty for miles

Well you cant have a dream
And cut it to fit
But when I saw you I knew
We go together like a wink and a smile

Leave your old jalopy
By the railroad track
",55,3.8
Howie Day,Numbness For Sound,3,sad,"A cold winter sun
My feet underground
A pale winter city
A numbness for sound
Ill wait back here

All that you notice
A moment in time
A photograph lost here
Since you were mine
Ill wait back here

Or should I
Start pushing my way back Yeah
Should I start
Pushing my way back
",55,3.981818181818182
Alison Krauss,Ghost in This House,3,sad,"I dont pick up the mail
I dont pick up the phone
I dont answer the door
Id just soon be alone

I dont keep this place up
I just keep the lights down
I dont live in these rooms
I just rattled around

Im just a ghost in this house
Im just a shadow upon these walls
As quietly as a mouse
I haunt these halls

",67,3.5223880597014925
Richard Hell & the Voidoids,Love Comes in Spurts,0,angry,"I was a child
Who wanted love that was wild
Though tight as slow motion
But crazed with devotion

Insane with devotion
A whole other notion
I was fourteen and a half
And it wasnt no laugh

Love comes in spurts  oh no it hurts
",45,3.9555555555555557
Dana Glover,Thinking Over,2,relaxed,"Ive been searching for a reason
And Im running out of time
I can feel that its the season
Its time to make up my mind

And I cant really tell you what Im gonna do
There are so many thoughts in my head
There are two roads to walk down and one road to choose
So Im thinking over the things that youve said
Thinking over the things

Im thinking over
Thinking over
Thinking over
The things that youve said
And Im thinking over
Thinking over
Thinking over the things

Am I ready for forever
Oh God show me a sign
Cause if were to be together
",108,3.9444444444444446
Cake,Short Skirt/Long Jacket,1,happy,"I want a girl with a mind like a diamond
I want a girl who knows whats best
I want a girl with shoes that cut
And eyes that burn like cigarettes

I want a girl with the right allocations
Whos fast and thorough and sharp as a tack
Shes playing with her jewelry shes putting up her hair
Shes touring the facility and picking up slack

I want a girl with a short skirt and a long jacket

",79,3.8354430379746836
Godsmack,Vampires,0,angry,"Few creatures of the night have captured our imagination like Vampires
What explains our enduring fasination with Vampires
What is it about the vampire myth that explains our intrest
Is it the overtones of sexual lust power control
Or is it a fascination with the inmmortality of the undead
And what dark and hidden parts of our Psyche are aroused and captivated by the legends of the undead
",68,4.764705882352941
Jamie Cullum,These Are The Days,2,relaxed,"These are the days that Ive been missing
Give me the taste give me the joy of summer wine
These are the days that bring new meaning
I feel the stillness of the sun and I feel fine
Sometimes when the nights are closing early
I remember you and I start to smile

Even though now you dont want to know me
I get on by and I go the extra mile

",72,3.6805555555555554
Slipknot,(Sic),0,angry,"Pain

Here comes the pain

Enemy show me what you wanna be
I can handle anything even if I cant handle you
Readily either way it better be
Dont you fuckin pity me get up get off
What the hell am I sayin I dont know about malevolent
Sure as hell decadent I want somebody to step up step off
Walls let me fall fuck you all
Get a grip dont let me slip til I drop the ball

Fuck this shit Im sick of it
Youre goin down this is a war
Fuck it
",95,3.568421052631579
Cradle of Filth,The Foetus of a New Day Kicking,0,angry,"Im chaos international
The writing on the wall
A Lazarus in parable

A dark and sullen lullaby
Whispered softly as you die
Promising torments are nigh

Danger warning levels hissed out loud
I saw the silver lining hidden in a mushroom cloud
Now Im reeling from the shock at ground zero

If yesterday you would have stood up proud
Then why tonight have you thrown in with the stoning crowd
Ill breathe through the foetus of a new day kicking

The foetus of a new day kicking
",87,4.402298850574713
Animal Collective,Water Curses,1,happy,"To be the motion actor
Two broken strings attracted
To groom my face in life and doom

Hesitate to throw a coin in
A wish could be a bad thing
My mouth is just a mush of drool

Standing on the bridge I
Wink at you from up high
A talking fish comes as she moves

I want to be like water
And never need a doctor
And carve the earth without my tools

do it all

All the things that I relate to well
Like authors and painters
Transparent paper wings
That float above me while I sleep
",99,3.797979797979798
Groove Coverage,She,1,happy,"She hangs out every day near by the beach
Having a Heineken falling asleep
She looks so sexy when shes walking to sand
Nobody ever put a ring on her hand

Swim to the oceanshore fishing the sea
She is the story the story is she
She sings to the moon and the stars in the sky
Shining from high above you shouldnt ask why

She is the one that youll never forget
She is the heaven sent angel you met
Oh she must be the reason why god made a girl
",92,3.7934782608695654
Beatallica,Sgt. Hetfield's Motorbreath Pub Band,1,happy,"It was 20 years ago today
Motorhead taught this band to play
At first they were so out of style
Now they re guaranteed to raise your bile

May I introduce to you
The band who drank 1000 beers
Sgt Hetfield s Motorbreath pub band
Yeah yeah yeah yeah

Sgt Hetfield s Motorbreath pub band
",55,4.1454545454545455
Eminem,Lose Yourself,0,angry,,0,0.0
Green Carnation,Two Seconds in Life,3,sad,"I left myself
I left my body
I got so frightened by the light
and all the things that I could see
I left myself

Blinded by the light
Faded by the dawn
Of mine

",35,3.5428571428571427
